name,round1Board,round1Score,round1Country,round2Board,round2Score,round2Country,round3Board,round3Score,round3Country,round4Board,round4Score,round4Country,round5Board,round5Score,round5Country,topBoard,topBoardScore,topBoardCountry,totalScore
scottkosal,1-One,100,Russia,4-Four,50,Turkey,1-One,54,Germany,4-Four,100,Italy,,,,,,,304
rancorous,3-Three,39,France,3-Three,55,France,2-Two,100,Turkey,1-One,100,England,,,,,,,294
enviro1989,2-Two,0,France,5-Five,51,Russia,3-Three,50,England,2-Two,100,Austria,,,,,,,201
lorenfrisley,4-Four,23,France,1-One,100,Russia,4-Four,1,Austria,2-Two,0,England,,,,,,,124
eiichi.tanaka1984,5-Five,100,Germany,3-Three,1,Austria,5-Five,14,Turkey,3-Three,4,Italy,,,,,,,119
gomission2009,3-Three,17,Turkey,2-Two,54,Austria,3-Three,20.5,Turkey,3-Three,23,England,,,,,,,114.5
joaoitalozr18,2-Two,100,Germany,4-Four,3,Austria,2-Two,0,Russia,1-One,0,Italy,,,,,,,103
carey.miles,4-Four,3,Turkey,4-Four,18.5,Russia,4-Four,14,Turkey,5-Five,55,France,,,,,,,90.5
albert.y.h97,,,,4-Four,6,Germany,5-Five,56,France,5-Five,16,Turkey,,,,,,,78
abefromanskc74,,,,3-Three,22,Russia,4-Four,54,Germany,4-Four,0,Germany,,,,,,,76
benjaminskura,3-Three,2,Austria,4-Four,3,England,3-Three,20.5,Italy,3-Three,48,Russia,,,,,,,73.5
ruedelaflieh,4-Four,49,Germany,5-Five,1,England,5-Five,1,Italy,3-Three,11.5,France,,,,,,,62.5
caxaandroid,5-Five,0,England,5-Five,21.5,France,5-Five,22,Russia,1-One,0,France,,,,,,,43.5
magillcharles540,3-Three,39,England,5-Five,1,Turkey,4-Four,2,Russia,2-Two,0,France,,,,,,,42
madhatter.reyes,5-Five,0,France,2-Two,3,Russia,4-Four,27,France,4-Four,0,Austria,,,,,,,30
chiefravenskin,4-Four,4,Russia,1-One,0,Italy,3-Three,1,Austria,5-Five,24,England,,,,,,,29
davidhustead,2-Two,0,Italy,2-Two,26,Italy,2-Two,0,England,5-Five,2,Russia,,,,,,,28
krisfish91,1-One,0,England,1-One,0,Germany,1-One,27,France,1-One,0,Russia,,,,,,,27
simasnau,1-One,0,Austria,5-Five,21.5,Italy,1-One,1,Italy,3-Three,1,Germany,,,,,,,23.5
kerimcelik1986,,,,4-Four,18.5,France,5-Five,1,Germany,5-Five,1,Germany,,,,,,,20.5
roger.santana87,4-Four,1,Italy (S),2-Two,14,Germany,4-Four,1,England,3-Three,1,Austria,,,,,,,17
jdyangze,1-One,0,Turkey,2-Two,1,Turkey,1-One,14,Turkey,2-Two,0,Turkey,,,,,,,15
hans.seppele,1-One,0,France,3-Three,14,Turkey,1-One,1,Austria,4-Four,0,Russia,,,,,,,15
cmeier360,4-Four,15,Austria,3-Three,0,,,,,,,,,,,,,,15
charlesg070,1-One,0,Germany,2-Two,1,England,1-One,1,England,3-Three,11.5,Turkey,,,,,,,13.5
cook.tommy,3-Three,1,Russia,3-Three,6,Italy,3-Three,1,Germany,2-Two,0,Germany,,,,,,,8
llamagaming29,3-Three,1,Germany,5-Five,1,Austria,3-Three,6,France,4-Four,0,England,,,,,,,8
chapoftheus,,,,,,,5-Five,5,England,5-Five,1,Austria,,,,,,,6
bradley.haverhoek,4-Four,5,England,4-Four,0,,,,,,,,,,,,,,5
johnrossdavis,1-One,0,Italy,5-Five,3,Germany,2-Two,0,France,2-Two,0,Russia,,,,,,,3
duster05g,5-Five,0,Italy,3-Three,1,Germany,4-Four,1,Italy,1-One,0,Turkey,,,,,,,2
jayaprakasha375,2-Two,0,England,1-One,0,Turkey,1-One,2,Russia,1-One,0,Austria,,,,,,,2
pozhilankural,5-Five,0,Russia,2-Two,1,France,5-Five,1,Austria,2-Two,0,Italy,,,,,,,2
tav1967,3-Three,1,Italy,1-One,0,France,3-Three,1,Russia,4-Four,0,France,,,,,,,2
yklikt,2-Two,0,Russia,3-Three,1,England,2-Two,0,Austria,4-Four,0,Turkey,,,,,,,1
jhaddad21,2-Two,0,Austria,4-Four,0,Italy,2-Two,0,Germany,5-Five,1,Italy,,,,,,,1
powerfulbatdav,2-Two,0,Turkey,1-One,0,England,2-Two,0,Italy,1-One,0,Germany,,,,,,,0
foxgeo45,5-Five,0,Austria,4-Four,0,,,,,,,,,,,,,,0
greenhood907,5-Five,0,Turkey,,0,,,,,,,,,,,,,,0
taulntlufiu,,,,1-One,0,Austria,,,,,,,,,,,,,0
zkendrick123,4-Four,0,,,0,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,0
